name,item_id,image_url,quote,effect,quality,recharge
Notched Axe,147,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/3b/Collectible_Notched_Axe_icon.png/revision/latest?cb=20210821042334,Rocks don't stand a chance,"Isaac destroysobstaclesand opensSecret Roomsby walking into them, but cannot shoot or pick up items until it's cancelled.Toggles between tears and the pickaxe, which can be swung to attack and breakobstacles. Using it depletes the charge, and it can't be used until nextflooronce the charge runs out.",1,
Pandora's Box,297,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/8f/Collectible_Pandora%27s_Box_icon.png/revision/latest?cb=20210821081302,? ?,Spawns specificpickupsoritemsdepending on thefloorit is used on. Disappears after use.,2,
Portable Slot,177,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/65/Collectible_Portable_Slot_icon.png/revision/latest?cb=20210821055021,Gamble 24/7,"Consumes 1Pennyand has a chance to drop a randompickup, like aSlot Machine.",0,
Razor Blade,126,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/70/Collectible_Razor_Blade_icon.png/revision/latest?cb=20210821040436,Feel my pain,Takes oneHeartofhealthand grants +1.2damagefor the currentroom.Repeated uses in the same room only take half a heart.,0,
Red Candle,289,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/dc/Collectible_Red_Candle_icon.png/revision/latest?cb=20210821080857,Flame on,"Throws out a flame that damages everything in its path, diminishing in size as it hits enemies or blocks shots.",1,
Remote Detonator,137,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a6/Collectible_Remote_Detonator_icon.png/revision/latest?cb=20210821041549,Remote bomb detonation,Bombsplaced by Isaac only explode when Remote Detonator is used. Gives 5 bombs.,0,
The Boomerang,338,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/68/Collectible_The_Boomerang_icon.png/revision/latest?cb=20210821053333,It will never leave you,"Throws a boomerang which retrievespickups, as well as damages andpetrifiesenemies hit for 2 seconds.",1,
The Candle,164,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/c/ca/Collectible_The_Candle_icon.png/revision/latest?cb=20210821080014,Reusable flames,"Throws out a flame that damages everything in its path, diminishing in size as it travels.",2,
The Jar,290,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a2/Collectible_The_Jar_icon.png/revision/latest?cb=20210821050629,Save your life,"When at fullhealth, up to 4 extraRed Heartscan be stored in The Jar. Activating drops the stored hearts on the ground.",0,
Diplopia,347,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/2f/Collectible_Diplopia_icon.png/revision/latest?cb=20210821145954,Double item vision,Duplicates all pickups and item pedestals in the room.,3,
Glass Cannon,352,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/3e/Collectible_Glass_Cannon_icon.png/revision/latest?cb=20210821161627,Be gentle...,"Fires a high-damage piercing spectral tear, but lowers Isaac's health to half a heart.Fires a high-damage piercing spectral tear. If Isaac takes damage while holding this, he takes extra damage and it becomesBroken Glass Cannon.",1,
Glowing Hourglass,422,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/51/Collectible_Glowing_Hourglass_icon.png/revision/latest?cb=20210821150801,Turn back time,"Rewinds time, putting Isaac back in the previous room and undoing anything that happened in the current room.Can only be used three times per floor, after which it functions likeThe Hourglassuntil the next floor.",3,
Jar of Flies,434,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/31/Collectible_Jar_of_Flies_icon.png/revision/latest?cb=20210821162200,Bug catcher,"Killing an enemy adds a fly to the jar, up to a maximum of 20. On use, releasesBlue Fliesequal to the number of flies in the jar.",2,
Placebo,348,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/5e/Collectible_Placebo_icon.png/revision/latest?cb=20210821150023,Pill mimic,Has the same effect as thePillcurrently held by Isaac.The charge time is based on the power of the pill.,1,
Tear Detonator,383,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/57/Collectible_Tear_Detonator_icon.png/revision/latest?cb=20210821162334,Remote tear detonation!,"Splits all of Isaac's tears that are currently in the air into 6 tears that fire in all directions, which retain theirdamageandshot speed.",1,
Ventricle Razor,396,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/97/Collectible_Ventricle_Razor_icon.png/revision/latest?cb=20210821162403,Short cutter,"Creates up to two portals that remain even if Isaac leaves the room. Upon entering a portal, Isaac is teleported to the other portal.",1,
Brown Nugget,504,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/36/Collectible_Brown_Nugget_icon.png/revision/latest?cb=20210822014554,Friendly fly,Spawns a stationary fly turret that lasts for the current room and fires tears at nearby enemies.,0,
D infinity,489,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/f/f2/Collectible_D_infinity_icon.png/revision/latest?cb=20210822014946,Reroll forever,"Grants a random die item that changes each use.Acts as any die item, and can by cycled by pressing the drop key.",4,
Mama Mega!,483,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/90/Collectible_Mama_Mega%21_icon.png/revision/latest?cb=20210822020614,BOOOOOOOOOM!,Damages allenemiesand destroys allobstacles. The effect occurs every time a new room is entered for the rest of the floor. Opens the doors to the floor'sSecret RoomsandSuper Secret Rooms.,3,
Mystery Gift,515,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/36/Collectible_Mystery_Gift_icon.png/revision/latest?cb=20210822045919,Wrapped up nice for you!,"Spawns a random item from the current room's item pool, with a chance to spawnA Lump of CoalorThe Poopinstead.",3,
Plan C,475,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a8/Collectible_Plan_C_icon.png/revision/latest?cb=20210822021015,My last resort,"Kills all enemies in the room, then kills Isaac three seconds later.",0,
Potato Peeler,487,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/67/Collectible_Potato_Peeler_icon.png/revision/latest?cb=20210822021144,A pound of flesh,"Removes aHeart Container, increasesdamageandrange, and grants aCube of Meat.",2,
Sacrificial Altar,536,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a5/Collectible_Sacrificial_Altar_icon.png/revision/latest?cb=20210822090909,He demands a sacrifice,Sacrifices up to 2familiarsand spawns an item for each familiar sacrificed. Converts all friendlyspidersandfliesintocoins.,1,
Sharp Straw,507,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/f/fe/Collectible_Sharp_Straw_icon.png/revision/latest?cb=20210822021352,More blood!,Damages all enemies in the room. Has a chance to drop aHalf Red HeartorHalf Soul Heartif an enemy is hit.Damages all enemies in the room. Has a chance to drop aHalf Red Heartif an enemy is hit.,2,
Telekinesis,522,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/4/4e/Collectible_Telekinesis_icon.png/revision/latest?cb=20210822050608,Power of the mind,Any enemy shots that come near Isaac for the next three seconds are held in place then fired back.,1,
Wait What?,484,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/7f/Collectible_Wait_What_icon.png/revision/latest?cb=20210822021806,I can't believe it's not butter bean!,"Isaac farts, sending out a circular rock wave that destroysobstaclesand hurts enemies.",1,
Anima Sola,722,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a2/Collectible_Anima_Sola_icon.png/revision/latest?cb=20210822150543,Repent,"Chains down the nearest enemy for 5 seconds, preventing them from acting.",3,
Bag of Crafting,710,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/1e/Collectible_Bag_of_Crafting_icon.png/revision/latest?cb=20210824111505,Make your destiny,"Collects and holds up to 8pickups, which can then be used to craft an item. The power level of the item is based on the quality of pickups used.",3,
Berserk!,704,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/ee/Collectible_Berserk%21_icon.png/revision/latest?cb=20210822151103,Rip and tear,"Isaac goes berserk for 5 seconds, greatly increasing hisspeed,tears, anddamage, but restricting him to using a melee weapon instead of his tears. This item charges by dealing damage to enemies instead of clearing rooms.",1,
Clear Rune,263,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/82/Collectible_Clear_Rune_icon.png/revision/latest?cb=20210824102506,Rune mimic,Has the same effect as theruneorsoul stonecurrently held by Isaac. The charge time is based on the power of the rune.,2,
Damocles,577,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/d1/Collectible_Damocles_icon.png/revision/latest?cb=20210824094228,A king's fortune... but at what cost?,"Spawns a sword above Isaac's head, which doubles allitempedestals. After Isaac takes damage, the sword can randomly fall at any point, instantly killing him.",3,
Dark Arts,705,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/4/40/Collectible_Dark_Arts_icon.png/revision/latest?cb=20210822151036,One with the shadows,"Briefly grants +1speedand makes Isaac invulnerable and intangible. When the effect ends, destroys all projectiles and damages all enemies Isaac ran through.",1,
Death Certificate,628,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/25/Collectible_Death_Certificate_icon.png/revision/latest?cb=20210822151641,Where am I?,"Takes Isaac to an abandoned and expanded version ofHome, which has one copy of every item in the game. After taking an item, Isaac returns to the room he used Death Certificate in.",4,
Decap Attack,729,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/11/Collectible_Decap_Attack_icon.png/revision/latest?cb=20210822150428,Chuck away!,"Throws Isaac's head, which is still able to fire tears at the spot it lands. Reactivating the item or stepping on the head reattaches it.",1,
Eraser,638,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/0/00/Collectible_Eraser_icon.png/revision/latest?cb=20210822151526,Erase thy enemy,"Throws an eraser that instantly kills the firstmonsterit hits, and prevents that monster from spawning for the rest of the run. Deals 15 damage to bosses, erasing that boss if fatal. Can only be used once per floor.",1,
Genesis,622,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/55/Collectible_Genesis_icon.png/revision/latest?cb=20210822151758,In the beginning,"Removes all of Isaac'sitemsandpickupsand takes him to a uniqueBedroomwith some pickups andChestsand a trapdoor to the nextfloor. For every item Isaac lost, he gets to take an item from a set of three.",2,
Golden Razor,555,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e2/Collectible_Golden_Razor_icon.png/revision/latest?cb=20210824092205,Pain from gain,Spends fivePenniesto increase Isaac'sdamageby 1.2 for the current room.,0,
Hold,715,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/32/Collectible_Hold_icon.png/revision/latest?cb=20210822150702,Saved for later,"Exclusive toTainted ???. Allows him to save onepoop bombfor later, allowing him to gather more over time.",0,
Mom's Bracelet,604,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/3d/Collectible_Mom%27s_Bracelet_icon.png/revision/latest?cb=20210824091931,Mother's strength,"Lets Isaac pick up and throwrocks,TNT,Poops,friendly Dips,Bombs, and otherobstacles.",1,
R Key,636,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/32/Collectible_R_Key_icon.png/revision/latest?cb=20210822151453,Time to start over,"Brings Isaac back to the first floor of a new run, retaining all of his items.",4,
Recall,714,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/5e/Collectible_Recall_icon.png/revision/latest?cb=20210822150802,Come back,Retrieves the Forgotten's body from any distance. Only available as theBirthrighteffect forTainted Forgotten.,0,
Sharp Key,623,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/5e/Collectible_Sharp_Key_icon.png/revision/latest?cb=20210822151733,Open your enemies,"Adds 5Keyson pickup. Allows Isaac to throw his keys to deal damage to enemies, destroyobstacles, and open doors.",1,
Spin to Win,655,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/7b/Collectible_Spin_to_Win_icon.png/revision/latest?cb=20210822150233,Let it rip!,Gives +0.5speedand greatly increases the rotation speed and damage oforbitalsfor 3 seconds. Passively gives Isaac a spinning top orbital that blocks enemy shots and deals contact damage.,0,
Stitches,635,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/24/Collectible_Stitches_icon.png/revision/latest?cb=20210822151551,Bait and switch,"Passively spawns afamiliarthat moves in the direction Isaac shoots. On use, Isaac swaps places with the familiar.",1,
Sumptorium,713,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a0/Collectible_Sumptorium_icon.png/revision/latest?cb=20210822150827,Blood to blood,"Removes half a heart and creates a Clot familiar that mimics Isaac's movements and tear effects. AsTainted Eve, passively converts health into Clots while firing. Activating returns all Clots to health.",3,
Suplex!,709,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/76/Collectible_Suplex%21_icon.png/revision/latest?cb=20210822150943,Angel breaker,"Isaac dashes forward and picks up the first enemy hit. After a moment, he slams them into the ground to deal damage and create a circular rock wave.",1,
Urn of Souls,640,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/79/Collectible_Urn_of_Souls_icon.png/revision/latest?cb=20210822151402,Unleash their sorrow,"Spews a stream of damaging flame. Gains Soul Charges each time an enemy dies, which are used to fuel the urn.",3,
Vade Retro,653,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/1b/Collectible_Vade_Retro_icon.png/revision/latest?cb=20210822151244,Begone!,"While held, enemies leave behind ghosts on death. Stronger enemies leave bigger ghosts. Using the item causes the ghosts to explode and damage nearby enemies, and instantly kills all ghost enemies with less than 50% HP.",1,
Wavy Cap,582,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/da/Collectible_Wavy_Cap_icon.png/revision/latest?cb=20210824092016,Tears up. A mind changing experience!,"Increasesfire rate, decreasesspeed, and distorts the screen. All effects become more pronounced with repeated use, and wear off by clearing rooms.",0,
The Sad Onion,1,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e0/Collectible_The_Sad_Onion_icon.png/revision/latest?cb=20220421081326,Tears up,+0.7tears.,3,
The Inner Eye,2,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/4/45/Collectible_The_Inner_Eye_icon.png/revision/latest?cb=20220421082647,Triple shot,Isaac shoots three tears at once with lowerfire rate.,3,
Spoon Bender,3,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/15/Collectible_Spoon_Bender_icon.png/revision/latest?cb=20210821042718,Homing shots,Grants Isaachoming tears.,3,
Cricket's Head,4,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/7f/Collectible_Cricket%27s_Head_icon.png/revision/latest?cb=20210822082454,DMG up,"IncreasesDamageby 0.5, and increases damage multiplier by ×1.5.",4,
My Reflection,5,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/de/Collectible_My_Reflection_icon.png/revision/latest?cb=20210821054202,Boomerang tears + DMG up + luck down,"Gives Isaac's tears a boomerang effect.+1.5range, +1tear falling speed, x1.6shot speedmultiplier.2x + 1.5range, +1.5damage, -1luck, 1.6xshot speedmultiplier.",2,
Number One,6,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/d6/Collectible_Number_One_icon.png/revision/latest?cb=20210821055946,Tears up + range down,"Grants +1.5tears, but severely reducesrange.",2,
Blood of the Martyr,7,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/19/Collectible_Blood_of_the_Martyr_icon.png/revision/latest?cb=20210821050458,DMG up,+1damage. Isaac shoots blood tears.,3,
Brother Bobby,8,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/9b/Collectible_Brother_Bobby_icon.png/revision/latest?cb=20210822082522,Friends 'till the end,Spawns afamiliarthat follows Isaac around shooting tears that deal 3.5 damage.He shoots more frequently than most familiars.,1,
Skatole,9,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/58/Collectible_Skatole_icon.png/revision/latest?cb=20210821043936,Fly love,Fliesbecome harmless or less dangerous depending on the type.,0,
Halo of Flies,10,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/d7/Collectible_Halo_of_Flies_icon.png/revision/latest?cb=20210821044005,Projectile protection,Spawns twoPretty Fliesthat block enemy shots and deal contact damage to flies.,2,
1up!,11,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/98/Collectible_1up%21_icon.png/revision/latest?cb=20210821081959,Extra life,"Gives Isaac an extra life. Upon death, he will respawn in the previous room with full health, after which 1up! will disappear.",2,
Magic Mushroom,12,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e2/Collectible_Magic_Mushroom_icon.png/revision/latest?cb=20210821052235,All stats up!,"Makes Isaac bigger. Adds one RedHeart Container, +0.3Damage, x1.5 damage multiplier, +5.25Range, +0.3Speed, and restores all Health.Makes Isaac bigger. Adds one RedHeart Container, +0.3Damage, x1.5 damage multiplier, +2.5Range, +0.3Speed, and restores all Health.",4,
The Virus,13,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/0/0d/Collectible_The_Virus_icon.png/revision/latest?cb=20210821044155,Poison touch + speed up,Isaacpoisonsenemies on contact.-0.1speed.+0.2speed.Poisoned enemies have a chance to drop a black heart when killed.,2,
Roid Rage,14,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e6/Collectible_Roid_Rage_icon.png/revision/latest?cb=20210821044114,Speed and range up,"+0.6speed, +5.25range, +0.5tear falling speed.+0.3speed, +2.5range",2,
<3,15,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/22/Collectible_Less_Than_Three_icon.png/revision/latest?cb=20210822082553,HP up,Grants Isaac oneRed Heart containerand fully restores Isaac'shealth.,2,
Raw Liver,16,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/f/fd/Collectible_Raw_Liver_icon.png/revision/latest?cb=20210821043509,HP up,Grants 2Red Heart containersand completely restoreshealth.,2,
Skeleton Key,17,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/31/Collectible_Skeleton_Key_icon.png/revision/latest?cb=20210821081929,99 keys,Gives Isaac 99Keys.,2,
A Dollar,18,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/be/Collectible_A_Dollar_icon.png/revision/latest?cb=20210821061555,$$$,Gives Isaac 100Pennies.,3,
Boom!,19,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/f/f7/Collectible_Boom%21_icon.png/revision/latest?cb=20210821044036,10 bombs,Grants 10Bombs.,0,
Transcendence,20,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/ec/Collectible_Transcendence_icon.png/revision/latest?cb=20210821040640,We all float down here...,Grantsflight.,2,
The Compass,21,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/da/Collectible_The_Compass_icon.png/revision/latest?cb=20210821044228,The end is near,"Reveals the locations and types of all special rooms on the map, exceptSecret RoomsandSuper Secret Rooms.",1,
Lunch,22,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/ef/Collectible_Lunch_icon.png/revision/latest?cb=20210821052414,HP up,Grants one full RedHeart container.Heals 1 additionalRed Heart.,1,
Dinner,23,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e2/Collectible_Dinner_icon.png/revision/latest?cb=20210821052343,HP up,Grants one full RedHeart container.Heals 1 additionalRed Heart.,1,
Dessert,24,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e8/Collectible_Dessert_icon.png/revision/latest?cb=20210821043118,HP up,Grants one full RedHeart container.Heals 1 additionalRed Heart.,1,
Breakfast,25,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/53/Collectible_Breakfast_icon.png/revision/latest?cb=20210821042814,HP up,Grants one full RedHeart container.Heals 1 additionalRed Heart.,1,
Rotten Meat,26,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/1d/Collectible_Rotten_Meat_icon.png/revision/latest?cb=20210821034759,HP up,Grants one full RedHeart container.Heals 1 additionalRed Heart.,1,
Wooden Spoon,27,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/11/Collectible_Wooden_Spoon_icon.png/revision/latest?cb=20210821043541,Speed up,+0.3speed.,1,
The Belt,28,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/c/cb/Collectible_The_Belt_icon.png/revision/latest?cb=20210821034937,Speed up,+0.3speed.,1,
Mom's Underwear,29,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/64/Collectible_Mom%27s_Underwear_icon.png/revision/latest?cb=20210821041918,Range up,"+5.25range, +0.5tear falling speed.+2.5range. Spawns 3-6Blue Flieson pickup.",1,
Mom's Heels,30,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/34/Collectible_Mom%27s_Heels_icon.png/revision/latest?cb=20210821051755,Range up,"+5.25range, +0.5tear falling speed.+2.5range, enemies that touch Isaac take 12 damage.",1,
Mom's Lipstick,31,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/2d/Collectible_Mom%27s_Lipstick_icon.png/revision/latest?cb=20210821060407,Range up,"+5.25range, +0.5tear falling speed.+3.75range. Spawns aHearton pickup.",1,
Wire Coat Hanger,32,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/1d/Collectible_Wire_Coat_Hanger_icon.png/revision/latest?cb=20210821073749,Tears up,+0.7tears.,3,
Lucky Foot,46,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/18/Collectible_Lucky_Foot_icon.png/revision/latest?cb=20210821044608,Luck up,"+1luck. Improves Isaac's chances at various random events (independent from the luck stat).Converts all badpillsinto good pills, without identifying them.",2,
Cupid's Arrow,48,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/0/02/Collectible_Cupid%27s_Arrow_icon.png/revision/latest?cb=20210821043439,Piercing shots,Grants Isaacpiercing tearsthat travel through enemies (but not obstacles) instead of breaking on impact with them.,2,
Steven,50,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/c/cb/Collectible_Steven_icon.png/revision/latest?cb=20210821082228,DMG up,+1damage.,3,
Pentagram,51,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/91/Collectible_Pentagram_icon.png/revision/latest?cb=20210821041337,DMG up,"+1damage, increasesDevil Room/Angel Roomchance by 10%.",3,
Dr. Fetus,52,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/68/Collectible_Dr._Fetus_icon.png/revision/latest?cb=20210821081718,???,Tears are replaced byBombsthat benefit from bomb-enhancing effects and slide for a fixed time after being fired.,4,
Magneto,53,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/dc/Collectible_Magneto_icon.png/revision/latest?cb=20210821051902,Item snatcher,Pullspickupstowards Isaac.,1,
Treasure Map,54,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/25/Collectible_Treasure_Map_icon.png/revision/latest?cb=20210821075608,Full visible map,Reveals the map of eachfloor. It does not identify special rooms and does not reveal the locations ofSecret Rooms/Super Secret Rooms.,1,
Mom's Eye,55,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/0/06/Collectible_Mom%27s_Eye_icon.png/revision/latest?cb=20210821044715,Eye in the back of your head,Gives Isaac a chance to fire tears from the back of his head.,1,
Distant Admiration,57,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a4/Collectible_Distant_Admiration_icon.png/revision/latest?cb=20210821051143,Attack fly,"Spawns an attack fly thatcirclesfurther out thanHalo of Flies, but closer thanForever Alone, dealing 75 damage per second.",2,
The Ladder,60,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/ef/Collectible_The_Ladder_icon.png/revision/latest?cb=20210821050526,Building bridges,Allows Isaac to walk across gaps one square across by automatically placing a ladder between the two walkable sections.,1,
Charm of the Vampire,62,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/c/c3/Collectible_Charm_of_the_Vampire_icon.png/revision/latest?cb=20210821051422,DMG up + kills heal,Heals Isaac for aHalf Red Heartfor every 13enemieskilled.+0.3damage.,2,
The Battery,63,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/b9/Collectible_The_Battery_icon.png/revision/latest?cb=20210821034907,Stores energy,"Activated itemscan be overcharged, allowing them to store up to one extra use.",2,
Steam Sale,64,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/b0/Collectible_Steam_Sale_icon.png/revision/latest?cb=20210821044753,50% off,"Reduces all Shop prices by 50%, rounded down to 7 coins for an item, rounded up to 2-3 coins for a pickup.",2,
Sister Maggy,67,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/8b/Collectible_Sister_Maggy_icon.png/revision/latest?cb=20210821040159,Friends 'till the end,Spawns afamiliarthat follows Isaac around shooting tears that deal 3.5 damage.Spawns afamiliarthat follows Isaac around shooting tears that deal 6 damage.,1,
Technology,68,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/7a/Collectible_Technology_icon.png/revision/latest?cb=20210821043712,Laser tears,Replaces tears with apiercinglaser with unlimited range.,3,
