name,item_id,image_url,quote,quality,recharge,item_pool
Telekinesis,522,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/4/4e/Collectible_Telekinesis_icon.png/revision/latest?cb=20210822050608,Power of the mind,1,,"Item Room, Greed Mode Item Room"
Wait What?,484,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/7f/Collectible_Wait_What_icon.png/revision/latest?cb=20210822021806,I can't believe it's not butter bean!,1,,Item Room
Anima Sola,722,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a2/Collectible_Anima_Sola_icon.png/revision/latest?cb=20210822150543,Repent,3,,Item Room
Bag of Crafting,710,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/1e/Collectible_Bag_of_Crafting_icon.png/revision/latest?cb=20210824111505,Make your destiny,3,,Item Room
Berserk!,704,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/ee/Collectible_Berserk%21_icon.png/revision/latest?cb=20210822151103,Rip and tear,1,,Devil Room
Clear Rune,263,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/82/Collectible_Clear_Rune_icon.png/revision/latest?cb=20210824102506,Rune mimic,2,,"Secret Room, Crane Game"
Damocles,577,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/d1/Collectible_Damocles_icon.png/revision/latest?cb=20210824094228,A king's fortune... but at what cost?,3,,Devil Room
Dark Arts,705,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/4/40/Collectible_Dark_Arts_icon.png/revision/latest?cb=20210822151036,One with the shadows,1,,Devil Room
Death Certificate,628,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/25/Collectible_Death_Certificate_icon.png/revision/latest?cb=20210822151641,Where am I?,4,,Secret Room
Decap Attack,729,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/11/Collectible_Decap_Attack_icon.png/revision/latest?cb=20210822150428,Chuck away!,1,,Item Room
Eraser,638,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/0/00/Collectible_Eraser_icon.png/revision/latest?cb=20210822151526,Erase thy enemy,1,,"Shop, Crane Game"
Genesis,622,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/55/Collectible_Genesis_icon.png/revision/latest?cb=20210822151758,In the beginning,2,,"Angel Room, Greed Mode Angel Room"
Golden Razor,555,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e2/Collectible_Golden_Razor_icon.png/revision/latest?cb=20210824092205,Pain from gain,0,,"Item Room, Greed Mode Item Room"
Hold,715,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/32/Collectible_Hold_icon.png/revision/latest?cb=20210822150702,Saved for later,0,,None
Mom's Bracelet,604,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/3d/Collectible_Mom%27s_Bracelet_icon.png/revision/latest?cb=20210824091931,Mother's strength,1,,"Shop, Crane Game, Mom's Chest"
R Key,636,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/32/Collectible_R_Key_icon.png/revision/latest?cb=20210822151453,Time to start over,4,,Secret Room
Recall,714,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/5e/Collectible_Recall_icon.png/revision/latest?cb=20210822150802,Come back,0,,None
Sharp Key,623,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/5e/Collectible_Sharp_Key_icon.png/revision/latest?cb=20210822151733,Open your enemies,1,,Shop
Spin to Win,655,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/7b/Collectible_Spin_to_Win_icon.png/revision/latest?cb=20210822150233,Let it rip!,0,,Item Room
Stitches,635,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/24/Collectible_Stitches_icon.png/revision/latest?cb=20210822151551,Bait and switch,1,,Item Room
Sumptorium,713,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a0/Collectible_Sumptorium_icon.png/revision/latest?cb=20210822150827,Blood to blood,3,,Item Room
Suplex!,709,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/76/Collectible_Suplex%21_icon.png/revision/latest?cb=20210822150943,Angel breaker,1,,"Item Room, Crane Game"
Urn of Souls,640,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/79/Collectible_Urn_of_Souls_icon.png/revision/latest?cb=20210822151402,Unleash their sorrow,3,,Angel Room
Vade Retro,653,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/1b/Collectible_Vade_Retro_icon.png/revision/latest?cb=20210822151244,Begone!,1,,Angel Room
Wavy Cap,582,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/da/Collectible_Wavy_Cap_icon.png/revision/latest?cb=20210824092016,Tears up. A mind changing experience!,0,,Secret Room
The Sad Onion,1,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e0/Collectible_The_Sad_Onion_icon.png/revision/latest?cb=20220421081326,Tears up,3,,Item Room
The Inner Eye,2,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/4/45/Collectible_The_Inner_Eye_icon.png/revision/latest?cb=20220421082647,Triple shot,3,,Item Room
Spoon Bender,3,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/15/Collectible_Spoon_Bender_icon.png/revision/latest?cb=20210821042718,Homing shots,3,,Item Room
Cricket's Head,4,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/7f/Collectible_Cricket%27s_Head_icon.png/revision/latest?cb=20210822082454,DMG up,4,,Item Room
My Reflection,5,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/de/Collectible_My_Reflection_icon.png/revision/latest?cb=20210821054202,Boomerang tears + DMG up + luck down,2,,Item Room
Number One,6,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/d6/Collectible_Number_One_icon.png/revision/latest?cb=20210821055946,Tears up + range down,2,,Item Room
Blood of the Martyr,7,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/19/Collectible_Blood_of_the_Martyr_icon.png/revision/latest?cb=20210821050458,DMG up,3,,"Item Room, Angel Room"
Brother Bobby,8,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/9b/Collectible_Brother_Bobby_icon.png/revision/latest?cb=20210822082522,Friends 'till the end,1,,"Item Room, Devil Room"
Skatole,9,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/58/Collectible_Skatole_icon.png/revision/latest?cb=20210821043936,Fly love,0,,None (Arcade shell game only)
Halo of Flies,10,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/d7/Collectible_Halo_of_Flies_icon.png/revision/latest?cb=20210821044005,Projectile protection,2,,"Item Room, Key Beggar"
1up!,11,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/98/Collectible_1up%21_icon.png/revision/latest?cb=20210821081959,Extra life,2,,Secret Room
Magic Mushroom,12,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e2/Collectible_Magic_Mushroom_icon.png/revision/latest?cb=20210821052235,All stats up!,4,,"Item Room, Mushrooms"
The Virus,13,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/0/0d/Collectible_The_Virus_icon.png/revision/latest?cb=20210821044155,Poison touch + speed up,2,,"Item Room, Demon Beggar, Lust Miniboss"
Roid Rage,14,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e6/Collectible_Roid_Rage_icon.png/revision/latest?cb=20210821044114,Speed and range up,2,,"Item Room, Boss Room, Demon Beggar"
<3,15,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/22/Collectible_Less_Than_Three_icon.png/revision/latest?cb=20210822082553,HP up,2,,"Item Room, Gluttony Miniboss"
Raw Liver,16,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/f/fd/Collectible_Raw_Liver_icon.png/revision/latest?cb=20210821043509,HP up,2,,Secret Room
Skeleton Key,17,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/31/Collectible_Skeleton_Key_icon.png/revision/latest?cb=20210821081929,99 keys,2,,"Item Room, Secret Room"
A Dollar,18,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/be/Collectible_A_Dollar_icon.png/revision/latest?cb=20210821061555,$$$,3,,None (Arcade machine only)
Boom!,19,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/f/f7/Collectible_Boom%21_icon.png/revision/latest?cb=20210821044036,10 bombs,0,,Item Room
Transcendence,20,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/ec/Collectible_Transcendence_icon.png/revision/latest?cb=20210821040640,We all float down here...,2,,Secret Room
The Compass,21,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/da/Collectible_The_Compass_icon.png/revision/latest?cb=20210821044228,The end is near,1,,"Shop, Beggar"
Lunch,22,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/ef/Collectible_Lunch_icon.png/revision/latest?cb=20210821052414,HP up,1,,"Boss Room, Challenge Room, Beggar"
Dinner,23,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e2/Collectible_Dinner_icon.png/revision/latest?cb=20210821052343,HP up,1,,"Boss Room, Beggar, Challenge Room"
Dessert,24,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e8/Collectible_Dessert_icon.png/revision/latest?cb=20210821043118,HP up,1,,"Boss Room, Beggar, Challenge Room"
Breakfast,25,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/53/Collectible_Breakfast_icon.png/revision/latest?cb=20210821042814,HP up,1,,"Boss Room, Challenge Room, Beggar"
Rotten Meat,26,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/1d/Collectible_Rotten_Meat_icon.png/revision/latest?cb=20210821034759,HP up,1,,"Boss Room, Beggar, Challenge Room"
Wooden Spoon,27,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/11/Collectible_Wooden_Spoon_icon.png/revision/latest?cb=20210821043541,Speed up,1,,Boss Room
The Belt,28,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/c/cb/Collectible_The_Belt_icon.png/revision/latest?cb=20210821034937,Speed up,1,,"Boss Room, Gold/Stone Chest"
Mom's Underwear,29,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/64/Collectible_Mom%27s_Underwear_icon.png/revision/latest?cb=20210821041918,Range up,1,,"Boss Room, Challenge Room, Gold/Stone Chest, Mom's Chest"
Mom's Heels,30,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/34/Collectible_Mom%27s_Heels_icon.png/revision/latest?cb=20210821051755,Range up,1,,"Boss Room, Challenge Room, Mom's Chest"
Mom's Lipstick,31,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/2d/Collectible_Mom%27s_Lipstick_icon.png/revision/latest?cb=20210821060407,Range up,1,,"Boss Room, Challenge Room, Mom's Chest"
Wire Coat Hanger,32,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/1d/Collectible_Wire_Coat_Hanger_icon.png/revision/latest?cb=20210821073749,Tears up,3,,"Boss Room, Gold/Stone Chest"
Lucky Foot,46,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/18/Collectible_Lucky_Foot_icon.png/revision/latest?cb=20210821044608,Luck up,2,,"Item Room, Beggar"
Cupid's Arrow,48,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/0/02/Collectible_Cupid%27s_Arrow_icon.png/revision/latest?cb=20210821043439,Piercing shots,2,,Item Room
Steven,50,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/c/cb/Collectible_Steven_icon.png/revision/latest?cb=20210821082228,DMG up,3,,Steven Boss
Pentagram,51,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/91/Collectible_Pentagram_icon.png/revision/latest?cb=20210821041337,DMG up,3,,"Boss Room, Curse Room, Devil Room, Demon Beggar, Crane Game"
Dr. Fetus,52,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/68/Collectible_Dr._Fetus_icon.png/revision/latest?cb=20210821081718,???,4,,Item Room
Magneto,53,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/dc/Collectible_Magneto_icon.png/revision/latest?cb=20210821051902,Item snatcher,1,,Item Room
Treasure Map,54,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/25/Collectible_Treasure_Map_icon.png/revision/latest?cb=20210821075608,Full visible map,1,,"Shop, Beggar"
Mom's Eye,55,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/0/06/Collectible_Mom%27s_Eye_icon.png/revision/latest?cb=20210821044715,Eye in the back of your head,1,,"Item Room, Challenge Room, Mom's Chest"
Distant Admiration,57,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a4/Collectible_Distant_Admiration_icon.png/revision/latest?cb=20210821051143,Attack fly,2,,"Item Room, Key Beggar"
The Ladder,60,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/ef/Collectible_The_Ladder_icon.png/revision/latest?cb=20210821050526,Building bridges,1,,Shop
Charm of the Vampire,62,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/c/c3/Collectible_Charm_of_the_Vampire_icon.png/revision/latest?cb=20210821051422,DMG up + kills heal,2,,Item Room
The Battery,63,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/b9/Collectible_The_Battery_icon.png/revision/latest?cb=20210821034907,Stores energy,2,,Shop
Steam Sale,64,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/b0/Collectible_Steam_Sale_icon.png/revision/latest?cb=20210821044753,50% off,2,,"Shop, Greed Miniboss, Shopkeeper"
Sister Maggy,67,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/8b/Collectible_Sister_Maggy_icon.png/revision/latest?cb=20210821040159,Friends 'till the end,1,,"Item Room, Devil Room"
Technology,68,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/7a/Collectible_Technology_icon.png/revision/latest?cb=20210821043712,Laser tears,3,,Item Room
Chocolate Milk,69,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/84/Collectible_Chocolate_Milk_icon.png/revision/latest?cb=20210821053723,Charge shots,3,,Item Room
Growth Hormones,70,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/c/ce/Collectible_Growth_Hormones_icon.png/revision/latest?cb=20210821042949,Speed + DMG up,3,,"Boss Room, Demon Beggar"
Mini Mush,71,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/75/Collectible_Mini_Mush_icon.png/revision/latest?cb=20210821052206,Speed + range up,2,,Item Room
Rosary,72,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/d2/Collectible_Rosary_icon.png/revision/latest?cb=20210821054407,Tears + faith up,2,,"Item Room, Angel Room"
Cube of Meat,73,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/68/Collectible_Cube_of_Meat_icon.png/revision/latest?cb=20210821044855,Gotta meat 'em all!,1,,None (Horsemen boss only)
A Quarter,74,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/be/Collectible_A_Quarter_icon.png/revision/latest?cb=20210821040711,+25 coins,0,,"Devil Room, Gold Chest, Super Greed Miniboss"
PHD,75,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/85/Collectible_PHD_icon.png/revision/latest?cb=20210821045049,Better pills,2,,"Item Room, Shop"
X-Ray Vision,76,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/51/Collectible_X-Ray_Vision_icon.png/revision/latest?cb=20210821101003,I've seen everything,2,,Item Room
The Mark,79,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/b4/Collectible_The_Mark_icon.png/revision/latest?cb=20210821045020,DMG + speed up,3,,"Curse Room, Devil Room, Demon Beggar"
The Pact,80,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/27/Collectible_The_Pact_icon.png/revision/latest?cb=20210821045425,DMG + tears up,3,,"Devil Room, Curse Room, Demon Beggar"
Dead Cat,81,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/1b/Collectible_Dead_Cat_icon.png/revision/latest?cb=20210821044954,9 lives,3,,"Devil Room, Curse Room, Red Chest, Super Pride Miniboss"
Lord of the Pit,82,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a4/Collectible_Lord_of_the_Pit_icon.png/revision/latest?cb=20210821044925,Demon wings,3,,"Devil Room, Demon Beggar"
Loki's Horns,87,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/95/Collectible_Loki%27s_Horns_icon.png/revision/latest?cb=20210821081444,Cross tears,1,,"Item Room, Demon Beggar"
Little Chubby,88,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/dc/Collectible_Little_Chubby_icon.png/revision/latest?cb=20210821045120,Attack buddy,1,,Item Room
Spider Bite,89,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/ee/Collectible_Spider_Bite_icon.png/revision/latest?cb=20210821045149,Slow effect,2,,Item Room
The Small Rock,90,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/b3/Collectible_The_Small_Rock_icon.png/revision/latest?cb=20210821082126,DMG up + speed down,3,,None (Tinted rock only)
Spelunker Hat,91,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a5/Collectible_Spelunker_Hat_icon.png/revision/latest?cb=20210821052512,See-through doors,2,,Item Room
Super Bandage,92,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/4/45/Collectible_Super_Bandage_icon.png/revision/latest?cb=20210821084041,+2 hearts,2,,"Item Room, Boss Room"
Sack of Pennies,94,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/f/f3/Collectible_Sack_of_Pennies_icon.png/revision/latest?cb=20210821083817,Gives money,1,,Item Room
Robo-Baby,95,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a3/Collectible_Robo-Baby_icon.png/revision/latest?cb=20210821035313,Friends 'till the bbbbzzzt,1,,Item Room
Little C.H.A.D.,96,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/3b/Collectible_Little_C.H.A.D._icon.png/revision/latest?cb=20210821035502,Gives kisses,2,,"Item Room, C.H.A.D. Boss"
The Relic,98,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/85/Collectible_The_Relic_icon.png/revision/latest?cb=20210821040301,Soul generator,3,,"Item Room, Angel Room"
Little Gish,99,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/99/Collectible_Little_Gish_icon.png/revision/latest?cb=20210821054100,Sticky friend,1,,"Item Room, Gish Boss"
Little Steven,100,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e1/Collectible_Little_Steven_icon.png/revision/latest?cb=20210821081410,Psychic friend,2,,"Item Room, Steven Boss"
The Halo,101,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/0/0e/Collectible_The_Halo_icon.png/revision/latest?cb=20210821040607,All stats up,3,,"Item Room, Angel Room"
The Common Cold,103,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/b8/Collectible_The_Common_Cold_icon.png/revision/latest?cb=20210821043409,Poison damage,1,,Item Room
The Parasite,104,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/72/Collectible_The_Parasite_icon.png/revision/latest?cb=20210821080114,Split shot,3,,Item Room
Mr. Mega,106,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/93/Collectible_Mr._Mega_icon.png/revision/latest?cb=20210821054542,Bigger boom,2,,"Item Room, Bomb Beggar, Super Wrath Miniboss"
The Wafer,108,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/0/02/Collectible_The_Wafer_icon.png/revision/latest?cb=20210821041515,Damage resistance,4,,"Item Room, Angel Room"
Money = Power,109,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/13/Collectible_Money_%3D_Power_icon.png/revision/latest?cb=20210821054000,$$$ = DMG,3,,"Item Room, Devil Room"
Mom's Contacts,110,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/98/Collectible_Mom%27s_Contacts_icon.png/revision/latest?cb=20210821083105,Freeze effect,3,,"Item Room, Challenge Room, Mom's Chest"
Guardian Angel,112,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/f/fc/Collectible_Guardian_Angel_icon.png/revision/latest?cb=20210821040330,Extra protection,1,,Angel Room
